,name,opt_weight,heuristic_weight,baseline_weight,local_search_weight,greedy_weight
3714,erdos-reyni-n1000-p0.005--maxw2000-seed5_4340.graph,522036.0,514557,514557,520419,477963
3715,erdos-reyni-n1000-p0.005--maxw2000-seed5_4341.graph,,476720,476720,496126,460894
3716,erdos-reyni-n1000-p0.005--maxw2000-seed5_4342.graph,,472615,472615,490955,446969
3717,erdos-reyni-n1000-p0.005--maxw2000-seed5_4343.graph,,480574,480574,499856,456325
3718,erdos-reyni-n1000-p0.005--maxw2000-seed5_4344.graph,,496425,496425,503799,458246
3719,erdos-reyni-n1000-p0.005--maxw2000-seed5_4345.graph,,496903,496903,509618,473353
3720,erdos-reyni-n1000-p0.005--maxw2000-seed5_4346.graph,,483673,483673,506469,474019
3721,erdos-reyni-n1000-p0.005--maxw2000-seed5_4347.graph,,495573,495573,502379,464299
3722,erdos-reyni-n1000-p0.005--maxw2000-seed5_4348.graph,,479461,479461,495403,455807
3723,erdos-reyni-n1000-p0.005--maxw2000-seed5_4349.graph,,486011,486011,509660,462247
3724,erdos-reyni-n1000-p0.005--maxw2000-seed5_435.graph,,500885,500885,517041,478670
3725,erdos-reyni-n1000-p0.005--maxw2000-seed5_4350.graph,480580.0,462460,462460,479686,440099
3726,erdos-reyni-n1000-p0.005--maxw2000-seed5_4351.graph,,471854,471854,489201,454216
3727,erdos-reyni-n1000-p0.005--maxw2000-seed5_4352.graph,,474072,474072,490475,458336
3728,erdos-reyni-n1000-p0.005--maxw2000-seed5_4353.graph,508476.0,501254,501254,508476,472145
3729,erdos-reyni-n1000-p0.005--maxw2000-seed5_4354.graph,,476641,476641,497441,453673
3730,erdos-reyni-n1000-p0.005--maxw2000-seed5_4355.graph,,447689,447689,470522,436741
3731,erdos-reyni-n1000-p0.005--maxw2000-seed5_4356.graph,,491301,491301,500195,453470
3732,erdos-reyni-n1000-p0.005--maxw2000-seed5_4357.graph,,488732,488732,504006,461746
3733,erdos-reyni-n1000-p0.005--maxw2000-seed5_4358.graph,,487134,487134,496628,462346
3734,erdos-reyni-n1000-p0.005--maxw2000-seed5_4359.graph,,473585,473585,486286,443013
3735,erdos-reyni-n1000-p0.005--maxw2000-seed5_436.graph,,492978,492978,501107,462281
3736,erdos-reyni-n1000-p0.005--maxw2000-seed5_4360.graph,,487331,487331,508166,465190
3737,erdos-reyni-n1000-p0.005--maxw2000-seed5_4361.graph,509615.0,498372,498372,509615,466216
3738,erdos-reyni-n1000-p0.005--maxw2000-seed5_4362.graph,,480992,480992,498574,449627
3739,erdos-reyni-n1000-p0.005--maxw2000-seed5_4363.graph,,481984,481984,494054,459160
3740,erdos-reyni-n1000-p0.005--maxw2000-seed5_4364.graph,,480309,480309,496351,462714
3741,erdos-reyni-n1000-p0.005--maxw2000-seed5_4365.graph,,467565,467565,482865,440184
3742,erdos-reyni-n1000-p0.005--maxw2000-seed5_4366.graph,,496331,496331,506522,466201
3743,erdos-reyni-n1000-p0.005--maxw2000-seed5_4367.graph,533323.0,524824,524824,532112,501687
3744,erdos-reyni-n1000-p0.005--maxw2000-seed5_4368.graph,,481533,481533,498439,472844
3745,erdos-reyni-n1000-p0.005--maxw2000-seed5_4369.graph,,457071,457071,476618,434604
3746,erdos-reyni-n1000-p0.005--maxw2000-seed5_437.graph,,455850,455850,476516,439912
3747,erdos-reyni-n1000-p0.005--maxw2000-seed5_4370.graph,,486247,486247,496955,462101
3748,erdos-reyni-n1000-p0.005--maxw2000-seed5_4371.graph,,509148,509148,523416,486283
3749,erdos-reyni-n1000-p0.005--maxw2000-seed5_4372.graph,,474076,474076,487528,454331
3750,erdos-reyni-n1000-p0.005--maxw2000-seed5_4373.graph,,488449,488449,503522,466354
3751,erdos-reyni-n1000-p0.005--maxw2000-seed5_4374.graph,,483544,483544,499998,465563
3752,erdos-reyni-n1000-p0.005--maxw2000-seed5_4375.graph,,487350,487350,502270,451882
3753,erdos-reyni-n1000-p0.005--maxw2000-seed5_4376.graph,,499444,499444,506979,461410
3754,erdos-reyni-n1000-p0.005--maxw2000-seed5_4377.graph,,499987,499987,511327,466102
3755,erdos-reyni-n1000-p0.005--maxw2000-seed5_4378.graph,,486085,486085,498935,464070
3756,erdos-reyni-n1000-p0.005--maxw2000-seed5_4379.graph,,482590,482590,508799,462159
3757,erdos-reyni-n1000-p0.005--maxw2000-seed5_438.graph,,497712,497712,511105,475359
3758,erdos-reyni-n1000-p0.005--maxw2000-seed5_4380.graph,,496625,496625,507160,471242
3759,erdos-reyni-n1000-p0.005--maxw2000-seed5_4381.graph,,477953,477953,492493,459821
3760,erdos-reyni-n1000-p0.005--maxw2000-seed5_4382.graph,,492838,492838,514711,483527
3761,erdos-reyni-n1000-p0.005--maxw2000-seed5_4383.graph,,470686,470686,492894,449058
3762,erdos-reyni-n1000-p0.005--maxw2000-seed5_4384.graph,,491981,491981,508554,472500
3763,erdos-reyni-n1000-p0.005--maxw2000-seed5_4385.graph,,468556,468556,488762,446588
3764,erdos-reyni-n1000-p0.005--maxw2000-seed5_4386.graph,,484133,484133,504685,467948
3765,erdos-reyni-n1000-p0.005--maxw2000-seed5_4387.graph,,460138,460138,491047,442750
3766,erdos-reyni-n1000-p0.005--maxw2000-seed5_4388.graph,496585.0,484976,484976,496530,450509
3767,erdos-reyni-n1000-p0.005--maxw2000-seed5_4389.graph,,459786,459786,479995,447952
3768,erdos-reyni-n1000-p0.005--maxw2000-seed5_439.graph,506940.0,494910,494910,506940,465663
3769,erdos-reyni-n1000-p0.005--maxw2000-seed5_4390.graph,,476006,476006,489459,458995
3770,erdos-reyni-n1000-p0.005--maxw2000-seed5_4391.graph,,486724,486724,499651,459668
3771,erdos-reyni-n1000-p0.005--maxw2000-seed5_4392.graph,,490019,490019,508540,472054
3772,erdos-reyni-n1000-p0.005--maxw2000-seed5_4393.graph,,470393,470393,483504,455192
3773,erdos-reyni-n1000-p0.005--maxw2000-seed5_4394.graph,,447338,447338,477861,429640
3774,erdos-reyni-n1000-p0.005--maxw2000-seed5_4395.graph,,478091,478091,494740,461517
3775,erdos-reyni-n1000-p0.005--maxw2000-seed5_4396.graph,,470774,470774,487203,452081
3776,erdos-reyni-n1000-p0.005--maxw2000-seed5_4397.graph,518742.0,501269,501269,516614,473158
3777,erdos-reyni-n1000-p0.005--maxw2000-seed5_4398.graph,,471168,471168,486808,448428
3778,erdos-reyni-n1000-p0.005--maxw2000-seed5_4399.graph,,478226,478226,507570,472396
3779,erdos-reyni-n1000-p0.005--maxw2000-seed5_44.graph,499215.0,485137,485137,499215,455866
3780,erdos-reyni-n1000-p0.005--maxw2000-seed5_440.graph,,492548,492548,508423,476832
3781,erdos-reyni-n1000-p0.005--maxw2000-seed5_4400.graph,,474867,474867,494032,437908
3782,erdos-reyni-n1000-p0.005--maxw2000-seed5_4401.graph,,499009,499009,502846,468177
3783,erdos-reyni-n1000-p0.005--maxw2000-seed5_4402.graph,,477473,477473,494378,465895
3784,erdos-reyni-n1000-p0.005--maxw2000-seed5_4403.graph,,477895,477895,495239,452446
3785,erdos-reyni-n1000-p0.005--maxw2000-seed5_4404.graph,,469630,469630,494513,450257
3786,erdos-reyni-n1000-p0.005--maxw2000-seed5_4405.graph,,466334,466334,478523,444408
3787,erdos-reyni-n1000-p0.005--maxw2000-seed5_4406.graph,,484750,484750,499843,463352
3788,erdos-reyni-n1000-p0.005--maxw2000-seed5_4407.graph,,463133,463133,492732,456991
3789,erdos-reyni-n1000-p0.005--maxw2000-seed5_4408.graph,,482394,482394,495673,457199
3790,erdos-reyni-n1000-p0.005--maxw2000-seed5_4409.graph,,480634,480634,493563,452281
3791,erdos-reyni-n1000-p0.005--maxw2000-seed5_441.graph,,444319,444319,472044,436291
3792,erdos-reyni-n1000-p0.005--maxw2000-seed5_4410.graph,,499576,499576,520332,462639
3793,erdos-reyni-n1000-p0.005--maxw2000-seed5_4411.graph,,491541,491541,496907,461426
